Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,tradeable,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,marketState,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,cryptoTradeable,shortName,longName,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,postMarketTime,regularMarketTime,hasPrePostMarketData,firstTradeDateMilliseconds,displayName,trailingPegRatio
2022-01-18,81.46808624267578,82.82033088516971,81.26809974978785,82.72510371949791,6824700,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-19,79.401611328125,82.55368321692504,79.25877422735074,81.67757449510079,10501800,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-20,78.77310943603516,80.94432063895071,78.5826478517824,79.91584988008549,10836900,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-21,78.2969741821289,79.41114731600113,78.11603747538533,79.38257989185578,11609000,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-24,78.48741912841797,78.48741912841797,75.79244770421487,77.3446787071376,16770400,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-25,77.20184326171875,78.18269690200951,76.37335163803888,77.44943971224961,13469900,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-26,75.79244995117188,78.11603044407585,75.49724357441876,78.00176075777999,13971300,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-27,75.97339630126953,77.27803108683578,75.42106852939176,76.28765250927249,10331900,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-28,76.6399917602539,76.65903428629662,74.82112174509125,76.17336632049071,7854700,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-01-31,77.28755187988281,77.7446451896459,76.29717335490659,76.64951460089746,10594200,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-02-01,77.17328643798828,77.51611010416113,75.84960899679746,77.51611010416113,8016900,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-02-02,78.5636215209961,78.9254877076209,76.98282273998484,77.28756133760749,9287600,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
2022-02-03,78.03033447265625,78.81120887524568,77.73512080672694,77.73512080672694,8207200,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,POSTPOST,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,False,Oracle Corporation,Oracle Corporation,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,1759449599,1759435202,True,511021800000,Oracle,2.306
